Item_ID,Item_Name,Item_Type,Item_Fat_Content,Item_Weight (kg),Item_MRP (₹),Item_Visibility,Outlet_ID,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales (₹),Delivery_Time (mins),Customer_Rating
ITEM0001,Economy,Vegetables,Low Fat,7.18,109.7,0.213,OUT013,Large,Tier 3,Grocery Store,7288.44,54,3.1
ITEM0002,See,Dairy,Low Fat,3.97,390.18,0.236,OUT027,Large,Tier 1,Supermarket Type1,13042.58,18,4.6
ITEM0003,Make,Bakery,Regular,8.15,205.83,0.222,OUT018,Medium,Tier 2,Supermarket Type1,18323.88,36,3.3
ITEM0004,Player,Household,Low Fat,9.76,205.31,0.096,OUT013,Small,Tier 3,Supermarket Type1,11809.16,46,4.2
ITEM0005,Process,Fruits,Regular,7.35,66.29,0.082,OUT027,Medium,Tier 3,Grocery Store,12730.49,19,2.9
ITEM0006,Teach,Household,Regular,3.83,336.77,0.033,OUT018,Medium,Tier 2,Supermarket Type1,18933.36,41,3.3
ITEM0007,North,Vegetables,Low Fat,7.78,58.9,0.062,OUT027,Medium,Tier 1,Supermarket Type1,8119.35,52,2.7
ITEM0008,According,Bakery,Regular,8.71,358.98,0.171,OUT049,Small,Tier 1,Supermarket Type1,856.71,25,2.6
ITEM0009,Security,Fruits,Low Fat,2.14,435.19,0.11,OUT018,Medium,Tier 1,Supermarket Type1,14623.65,17,4.0
ITEM0010,Which,Dairy,Low Fat,4.1,198.71,0.076,OUT010,Medium,Tier 3,Supermarket Type1,11864.23,31,4.1
ITEM0011,Paper,Fruits,Low Fat,2.14,316.05,0.069,OUT013,Small,Tier 1,Grocery Store,10315.25,47,4.4
ITEM0012,Minute,Fruits,Low Fat,3.38,24.74,0.14,OUT010,Large,Tier 2,Supermarket Type1,10673.16,43,2.8
ITEM0013,Culture,Frozen Foods,Low Fat,2.14,448.68,0.177,OUT018,Large,Tier 1,Supermarket Type2,5289.34,21,4.6
ITEM0014,Religious,Household,Low Fat,4.65,118.82,0.234,OUT018,Large,Tier 2,Supermarket Type2,7584.46,22,4.3
ITEM0015,Soon,Fruits,Regular,6.66,275.81,0.239,OUT049,Small,Tier 2,Grocery Store,14308.09,40,3.0
ITEM0016,Scene,Snacks,Low Fat,5.01,123.83,0.129,OUT010,Large,Tier 3,Grocery Store,9094.67,50,4.8
ITEM0017,Owner,Beverages,Regular,3.43,490.74,0.04,OUT010,Small,Tier 3,Supermarket Type2,8835.22,51,4.4
ITEM0018,Organization,Dairy,Low Fat,2.63,131.01,0.053,OUT013,Large,Tier 1,Supermarket Type2,4243.73,36,4.7
ITEM0019,Book,Vegetables,Low Fat,5.19,407.29,0.215,OUT018,Large,Tier 2,Supermarket Type1,14350.57,29,3.2
ITEM0020,Weight,Frozen Foods,Regular,3.44,334.62,0.116,OUT018,Medium,Tier 2,Supermarket Type2,3040.62,18,2.8
